Wiz Khalifa - Still Blazin
throat|гърло
stoned|леко замаян
bazin|the act of smoke weed and getting stoned
praising|хваля
blow|вея
low|отпаднал
kush|a high grade strand of marijuana
grade|клас
strand|кичур
facin|be responsible
occasion|повод
country even|дори страната
away|далече
bills|банкноти
re-up|отново нагоре
pile on|купчина
wettin|puttin a nigga on the business end of a drug deal
oz|унция
blunt|a hallowed-out cigar filled with marijuana
hollowed-out|издълбана
stuck|вкарвам
dro|HyDROponically grown marijuana
pollution|замърсяване
suffocate|задушавам
Haze|forest fires that a country even with a weak army could start to weaken its militarily more powerful neighbors - tha man made polution could suffocate an entire nation
get up out|стани
aint't|не е
zip|засилвам
styrofoam|стиропор
lightweight|лек
