NoteBook стр. 5 Poker Sclansky
decent|благоприятен
undeniably|безспорно
crack|пукнатина
alike|поравно
clues|улики
socked|спестил
fraught|изпълнен
triply|тройка
menace|зплаха
moderately|умерено
underrate|подценявам
announce|съобщавам
conceal|прикривам
prevent|предодвратявам
corollany|извод
tip|подшушване
ordinarily|обикновенно
splash|плясък
clincher|необорим аргумент
outright|окончателно
rational|разумен
preserve|запазвам
forethought|преднамереност
squeeze|натиск
isolation|изолиране
overlay|наслагване
tidy|спретнат
originase|създавам
license|разрешително
pointless|безсмислен
presumably|както може да се преполага
shallower|плитък
wager|облог
compelle|принуждавам
constitutes|съставлява
favorably|благосклонно
lone|самотен
crude|необмислен
haul|плячка
forfeit|лишавам се от
equity|чиста стойност на имуществото
lucrative|изгоден
lay|поставяне
shut|затварям
forgo|въздържам се от
deuce|двойка
net|чиста печалба
discount|обезщетявам
menage|смогвам
dearth|недоимак
premium|награда
long-term|перспективен
nullify|анулирам
considerably|значително
slashes|намалявам рязко
maneuver|маневра
drawback|недостатък
knowledgeable|интелигентен
offset|измествам
stuck|слагам
to alter|да променят
rationale|обосновка
betray|издавам
strive|нападение
cure|излекувам
soften|смекчавам
emrace|прегръдка
doubt|съмнение
clairvoyant|ясновидец
wary|препазлив
definitely|определено
salvage|спасявам от пленяване
brew|готвя
reliable|сигурно
liberally|щедро
crucial|решаващ
subtlety|тънкост
ship|пренасям
bloat|подувам се
lucrative|изгоден
fair|справедлив
favourite|предпочитан
indifferent|безразличен
delight|радост
pundit|спец
keep|продължавам
plenty|достатъчно
fluid|непостоянен
folly|безумие
inferior|по-ниско
rigidly|здраво
adhere|придържам се
past|покрай
disclaimer|упровержение
mention|споменавам
sanity|разсъдливост
keen|който се стреми
disaster|катастрофа
upside|плюс(the positive of favorable aspect)
outweight|надхвърлят
disadvantage|недостатък
conceive|измислям
gift|подарък
lone|самотен
stare|вглеждам се
gravy|лесна печалба
shortchange|връщам ресто
worthless|безполезна
crucial|решаващ
fasion|начин
