English today first
flatmate|съквартирант
immersion|потапяне
possessive|притежателен
adjective|прилагателно
sort|вид
capricorn|козирог
verb|глагол
contract|свиване
fluent|свободен,плавен
pedigree|породист
obedient|послушен
smashing|чудесен
relative|роднина
pretty|красив
fascinate|очаровам
surname|фамилно име
announcement|известие
marvellous|чудесен
set|комплект
employee|служител
publishing|издаване
appointment|уговорена среща
sweater|пуловер
calm|спокойствие
particular|подробен,специфичен
individually|поотделно
godmother|кръстница
convers|разговори
preposition|предлог
guys|човек
past|след
quarter|четвъртина
departure|тръгване
book|резервират
afternoon|следобед
evening|вечер
care|грижа
presenter|водещ
adore|обожавам
charming|очарователен
origin|източник,произход
handsome|хлабав
screenwriter|филмов сценарист
divorce|развеждам се
vocabulary|речник
direct|ръководя
